2011,8.82,347
2012,9.17,404
2013,9.58,420
2014,11.09,432
2015,12.16,469
2016,13.16,497
2017,13.68,521
2018,14.48,549
2019,15.26,581
2020,12.2,504
2021,17.19,553
Average,12.44,480
