2011,6.36,334
2012,6.81,361
2013,7.1,386
2014,7.86,393
2015,8.39,491
2016,9.03,627
2017,9.46,587
2018,9.9,588
2019,10.37,589
2020,3.66,301
2021,9.56,600
Average,8.05,478
